time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Plot,Plot,Plot,Plot,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D
22-05-2015,8432.5,8489.5498,8420.5996,8458.9502,8456.366533,8456.366533,8456.366533,8346.154294,8433.380973,8439.177369,8200.422192,193081000,171790400.4,54.98655756,45.09835509,NaN,NaN,NaN,NaN,54.98655756,NaN,41.67651923,-20.93880498,-62.61532421,93.78562018,94.76137462
25-05-2015,8438.1504,8441.9502,8364.1504,8370.25,8392.116867,8392.116867,8392.116867,8348.449123,8430.905249,8437.812471,8202.112021,125051003,169093450.3,50.13379012,45.6988203,NaN,NaN,NaN,NaN,NaN,NaN,36.3062368,-17.23252821,-53.53876501,75.771766,87.97136849
26-05-2015,8377.0996,8378.9004,8320.0498,8339.3496,8346.099933,8346.099933,8346.099933,8347.582502,8427.314831,8435.862711,8203.477569,120429003,166272700.6,48.52706652,46.80445995,NaN,NaN,NaN,NaN,NaN,NaN,29.55312624,-16.59735721,-46.15048345,69.49629762,79.68456127
27-05-2015,8302.75,8342.8496,8277.9502,8334.5996,8318.466467,8318.466467,8318.466467,8346.346035,8423.67894,8433.857501,8204.782266,170582999,165803550.5,48.27096579,47.9804956,NaN,NaN,NaN,NaN,NaN,NaN,23.88879491,-16.28948982,-40.17828472,61.23822389,68.83542917
28-05-2015,8345.7002,8364.5,8270.1504,8319,8317.883467,8317.883467,8317.883467,8343.741651,8419.573883,8431.583095,8205.91876,239549006,169513001.1,47.3864902,48.50730014,NaN,NaN,NaN,NaN,NaN,NaN,18.45697938,-17.1070605,-35.56403988,57.33588493,62.69013548
29-05-2015,8327.0996,8443.9004,8305.7002,8433.6504,8394.417,8394.417,8394.417,8352.304389,8420.125904,8431.624032,8208.184747,375232004,174473401.3,54.05039043,49.02004392,NaN,NaN,NaN,NaN,NaN,NaN,21.72582853,-8.406754211,-30.13258274,86.01641026,68.19683969
01-06-2015,8417.25,8467.1504,8405.4004,8433.4004,8435.317067,8435.317067,8435.317067,8360.027818,8420.646472,8431.659207,8210.425699,125991002,173984701.4,54.03431916,50.04860343,NaN,NaN,NaN,NaN,NaN,NaN,22.89453461,-1.514414482,-24.40894909,85.95387117,76.43538878
02-06-2015,8442.7998,8445.3496,8226.0498,8236.4502,8302.616533,8302.616533,8302.616533,8348.258521,8413.423089,8427.793682,8210.684649,151337992,173534850.8,43.14936333,49.94007473,NaN,NaN,NaN,NaN,NaN,NaN,10.08051768,-11.80830199,-21.88881967,28.14773598,66.7060058
03-06-2015,8232.4502,8236.7002,8094.1499,8135.1001,8155.316733,8155.316733,8155.316733,8327.957719,8402.508462,8421.99777,8209.932564,176662004,171563500.9,38.81604397,49.55146107,NaN,NaN,NaN,NaN,NaN,NaN,-4.747867698,-27.82365429,-23.0757866,10.35665411,41.48608709
04-06-2015,8155.1499,8160.0498,8056.75,8130.6499,8115.816567,8115.816653,8115.81648,8309.166498,8391.847342,8416.228505,8209.143682,159470993,171208850.3,38.63258452,49.0199585,NaN,NaN,NaN,NaN,NaN,NaN,-13.86674513,-40.40921801,-26.54247288,17.07484615,18.52641208
