time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Plot,Plot,Plot,Plot,Trailing Stop,Buy,Sell,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D
2024-10-15T11:31:00+05:30,25048.25,25054.85,25047.1,25054.25,25118.79469,25175.94312,25061.64627,25058.75906,25066.33151,25077.86208,25093.05463,25061.06704,0,0,313012,393710.25,44.07927119,42.22043542,NaN,NaN,NaN,NaN,NaN,NaN,-0.837923075,-5.588097404,-4.750174329,31.23966942,19.06336088
2024-10-15T11:32:00+05:30,25054.35,25058.2,25052.2,25056.15,25118.51841,25175.69436,25061.34246,25058.51058,25065.93223,25077.43214,25092.68742,25061.06704,0,0,433673,401200.85,45.86747501,42.31684402,NaN,NaN,NaN,NaN,NaN,NaN,-0.277480004,-5.097024335,-4.81954433,37.52066116,27.21763085
2024-10-15T11:33:00+05:30,25056.45,25056.55,25048.2,25052.4,25118.15081,25175.37925,25060.92236,25057.92862,25065.40156,25076.93645,25092.28655,25061.06704,0,0,555189,413326.95,42.94834789,42.02002283,NaN,NaN,NaN,NaN,NaN,NaN,-0.107036558,-4.953340028,-4.84630347,25.12396694,31.29476584
2024-10-15T11:34:00+05:30,25052.5,25058.6,25051.4,25058.6,25117.96427,25175.20721,25060.72132,25057.99256,25065.13483,25076.57336,25091.95136,25061.06704,0,0,301661,409751.35,48.75522782,41.7167014,NaN,NaN,NaN,NaN,48.75522782,NaN,0.445257464,-4.28973164,-4.734989104,45.61983471,36.08815427
2024-10-15T11:35:00+05:30,25057.9,25060.95,25057.15,25057.5,25117.75401,25175.00446,25060.50356,25057.94565,25064.83543,25076.19567,25091.60856,25061.06704,0,0,355691,406985.5,47.82515556,41.76783213,NaN,NaN,NaN,NaN,NaN,NaN,0.741052087,-3.808673995,-4.549726082,50.3968254,40.38020902
2024-10-15T11:36:00+05:30,25057.45,25057.55,25049,25050.95,25117.55216,25174.82873,25060.27559,25057.2794,25064.2909,25075.69575,25091.204,25061.06704,0,0,311965,404982.25,42.61242744,41.37561548,NaN,NaN,NaN,NaN,NaN,NaN,0.511076538,-3.91088041,-4.421956948,26.73913043,40.91859685
2024-10-15T11:37:00+05:30,25051.25,25052.15,25046.3,25047.45,25117.37217,25174.68195,25060.0624,25056.34327,25063.63047,25075.13643,25090.76863,25061.06704,0,0,264073,393995.8,40.0974349,41.27745473,NaN,NaN,NaN,NaN,NaN,NaN,0.157093156,-4.225590503,-4.382683659,16.40866873,31.18154152
2024-10-15T11:38:00+05:30,25047.05,25052.7,25046,25052.1,25116.69625,25174.10905,25059.28345,25055.93915,25063.1783,25074.68026,25090.38387,25061.06704,0,0,1028849,424294.75,44.76196837,41.83936192,NaN,NaN,NaN,NaN,NaN,NaN,0.263696375,-4.05306319,-4.316759565,45.20123839,29.44967919
2024-10-15T11:39:00+05:30,25051.45,25056.4,25051.45,25054.35,25116.42218,25173.85819,25058.98618,25055.7878,25062.83209,25074.27768,25090.02532,25061.06704,0,0,448948,425592.9,46.91594569,42.79455776,NaN,NaN,NaN,NaN,NaN,NaN,0.499634624,-3.692216286,-4.191850909,58.0952381,39.90171507
2024-10-15T11:40:00+05:30,25053.9,25054.2,25048.95,25049.6,25116.14597,25173.61772,25058.67423,25055.19848,25062.31318,25073.78902,25089.62308,25061.06704,0,0,434427,425547.6,43.09536585,43.06773049,NaN,NaN,NaN,NaN,NaN,NaN,0.356406876,-3.746342314,-4.10274919,27.93650794,43.74432814
